seed,lnz_dynesty4000,lnz_err_dynesty4000,lnz_dynesty2000,lnz_err_dynesty2000,lnz_nismo,lnz_err_nismo,lnz_morph_dynesty,lnz_err_morph_dynesty
0,-16170.605700338061,0.07434949879178701,-16170.646747330862,0.10196707259348929,-16171.052261354062,0.059182841536506776,-16170.578676337806,0.2467579017287658
1,-15941.19407375256,0.06741410510380107,-15941.208073126478,0.09192996677648117,-15941.299909463007,0.05411267243121538,-15941.15487822491,0.1412436543812539
2,-16223.941472703676,0.0756842721534091,-16224.103640264737,0.10585418566788685,-16224.171031667454,0.05927381049703132,-16223.675227789472,0.2700102047689283
3,-16080.573520936647,0.07557153085950946,-16080.640150058596,0.10644326081616357,-16080.349356618419,0.06195788903968637,-16080.434864131848,0.2934331436804834
4,-16194.167179283157,0.094682756410396,-16194.057420594441,0.12973958467079905,-16194.081672469993,0.057315959874106516,-16194.086974871672,0.2298495587419328
5,-16237.201414312969,0.07935121284050725,-16237.035675709467,0.10915750437964158,-16237.228155806733,0.06116715560834792,-16236.954151661128,0.2867954668079924
6,-16216.132397956893,0.08498207839572615,-16215.95681937676,0.11642700226791695,-16216.373553431682,0.05624712356818785,-16216.01069010529,0.1728507254280065
7,-16158.250037823,0.08742154438542897,-16158.277938618747,0.11944997156612548,-16158.175975486978,0.06229922437421926,-16158.547727434932,0.3155993001709685
8,-16152.114227215825,0.08513773038847007,-16152.023942211727,0.11741221624499908,-16151.952011139247,0.05986453609599946,-16152.099665413874,0.2523177133372956
9,-16265.45407573221,0.08318243272809353,-16265.421835267116,0.11556517097666422,-16265.432909777059,0.05793794882096831,-16265.257965839412,0.1863646757786733
10,-16448.923672742487,0.0903166436282352,-16448.903815781283,0.12467714551333287,-16448.950291016983,0.06109157708169959,-16449.092988150936,0.2588468021329678
11,-16180.931813394955,0.07147846679391719,-16181.055183439821,0.09944913208745598,-16180.992785823006,0.056476992328417096,-16180.832960759895,0.20278471100272
12,-16303.519226446298,0.08062385101147164,-16303.593966003635,0.11012464115100848,-16303.828479145426,0.06678684135688251,-16303.348741419297,0.5103273647039523
13,-16399.607831922152,0.0798530486561153,-16399.59135664439,0.11016731264613784,-16398.89488486729,0.06572279371031754,-16399.752605038786,0.2347030935503979
