seed,lnz_dynesty,lnz_err_dynesty,lnz_mcmc,lnz_err_mcmc,lnz_morph_dynesty,lnz_err_morph_dynesty,lnz_morph_mcmc,lnz_err_morph_mcmc
0,-16170.646747330862,0.1019670725934892,-16169.083769667355,0.1369785040457707,-16170.578676337806,0.2467579017287658,-16170.470906427694,0.2744858863038741
1,-15941.208073126478,0.0919299667764811,-15941.00425596474,0.1178858279811075,-15941.15487822491,0.1412436543812539,-15941.150674447772,0.1582629059635841
2,-16224.103640264737,0.1058541856678868,-16222.376552172238,0.1401336500209146,-16223.675227789472,0.2700102047689283,-16223.279204736486,0.2944713156122615
3,-16080.640150058596,0.1064432608161635,-16077.995157802054,0.1316904554407882,-16080.434864131848,0.2934331436804834,-16080.13910585589,0.3547786600152978
4,-16194.05742059444,0.129739584670799,-16192.87403835074,0.2064935679573361,-16194.086974871672,0.2298495587419328,-16193.927280512891,0.2489131250991901
5,-16237.035675709469,0.1091575043796415,-16235.476503982283,0.1425496694242678,-16236.954151661128,0.2867954668079924,-16236.825152885254,0.3331392131938406
6,-16215.95681937676,0.1164270022679169,-16213.184554171909,0.1620944483305213,-16216.01069010529,0.1728507254280065,-16215.928288554767,0.1903998702619573
7,-16158.277938618749,0.1194499715661254,-16161.482011791268,0.141243489029235,-16158.547727434932,0.3155993001709685,-16158.383638428026,0.3315564136489637
8,-16152.023942211728,0.117412216244999,-16182.341765228011,0.0929599426989967,-16152.099665413874,0.2523177133372956,-16151.959874722746,0.26391319965312
9,-16265.421835267116,0.1155651709766642,-16263.648185134192,0.1517008683647346,-16265.257965839412,0.1863646757786733,-16265.03259806864,0.2263770709562795
10,-16448.903815781283,0.1246771455133328,-16447.959313250805,0.1350243134112472,-16449.092988150936,0.2588468021329678,-16448.807595454367,0.2795914505113963
11,-16181.05518343982,0.0994491320874559,-16179.716624545295,0.1243552035471789,-16180.832960759895,0.20278471100272,-16180.721775310703,0.2188732740142417
12,-16303.593966003637,0.1101246411510084,-16302.616260161632,0.1357597112864735,-16303.348741419297,0.5103273647039523,-16303.031826930355,0.6046776972505303
13,-16399.59135664439,0.1101673126461378,-16398.74700115642,0.1180472214992235,-16399.752605038786,0.2347030935503979,-16399.597804290588,0.2659969616913668
14,-16178.888337156606,0.1086288746118902,-16177.183002781692,0.1374664062498674,-16178.958082610245,0.2010827069631388,-16179.000822500866,0.2242272928670666
15,-16423.10382125404,0.1142104528686231,-16421.200437554373,0.17106929750718,-16423.05993716317,0.1426674282112165,-16423.01429870453,0.15917708109469
