method,lnz,lnz_err
dynesty,-16518.613098362486,0.10591396227470819
mcmc,-16521.08123555042,0.11014791339561941
dynesty_morphz,-16518.744628990065,0.5746103212123536
mcmc_morphz,-16518.73072145936,0.5636155877390245
